遥感：remote sensing
农牧交错带：ecotone between agriculture and animal husbandry
服饰文化：clothing culture
中国大陆：Mainland of China
造船业：shipbuilding industry
社会群体：social group
文化模式：cultural patterns
外债：foreign debt
沈括：SHEN Kuo
地理位置：Geographical location
度量衡：weights and measures
禁毒：Drug Control
嘉陵江流域：Jialing River Basin
组织系统：organization system
川藏公路：Sichuan-Tibet highway
重工业：heavy industry
主要特征：main characteristics
数据配准：data registration
城市地理学：Urban geography
仁政：policy of benevolence
生活水平：living standard
社会道德：social morality
人生价值：Value of life
渐进性：asymptotic behavior
文字狱：literary inquisition
文化地理学：Cultural geography
近代工业：Modern industry
抗日民族统一战线：anti-Japanese national United front
章士钊：Zhang Shizhao
中国女性：Chinese women
中央苏区：the Central Soviet Area
国际移民：international migration
软力量：soft power
社会语境：social context
社会历史：social history
宰相：prime minister
宗法制度：patriarchal clan system
人格精神：personality spirit
李泽厚：Li Zehou
思想政治建设：ideological and political construction
精神追求：spiritual pursuit
消极自由：negative freedom
王莽：Wang Mang
经济民族主义：Economic Nationalism
北伐：northern expedition
乌江：Wujiang River
陕北地区：northern Shaanxi
织机：weaving machine
宣纸：Xuan paper
机构改革：organization reform
X衍射：X-ray diffraction
红外热成像：infrared thermography
防盗：guard against theft
西域：Western Region
冷战后：after Cold War
地域特征：regional features
武陵山区：Wuling mountain area
文化转型：culture transformation
发展进程：development process
城乡：City and country
黑白：black and white
湘西自治州：Xiangxi Autonomous Prefecture
家庭地位：Family status
夏代：Xia Dynasty
社会活动：social activities
自然崇拜：nature worship
弗洛伊德：Sigmund freud
传统道德：traditional morals
社会平等：social equality
婚姻挤压：Marriage squeeze
俞樾：Yu Yue
联合作战：joint operations
社会整合：social conformity
城墙：City wall
文化心态：cultural mentality
过渡时期：transitional period
文化传播：Culture communication
个人价值：individual value
军事革命：military revolution
劳动立法：labor legislation
区域地理：regional geography
法文化：Law Culture
南京大屠杀：Nanjing Massacre
艺术精神：Art Spirit
北京学：Beijing Studies
情报分析：information analysis
内容结构：content structure
政治地位：political status
巴蜀文化：Bashu culture
人文地理：Human geography
白寿彝：Bai Shouyi
贸易发展：trade development
体育价值：sports value
行政哲学：administrative philosophy
政治转型：political transformation
俄罗斯文化：russian culture
黄兴：Huang Xing
伦理秩序：ethical order
艾思奇：Ai Siqi
《离骚》：Li Sao
民主改革：democratic reform
伊斯兰原教旨主义：Islamic Fundamentalism
洪秀全：Hong Xiu-quan
杭州：Hangzhou city
定量表征：quantitative characterization
生态整体主义：ecological holism
生漆：raw lacquer
南方：South China
河套地区：Hetao area
中美关系：Sino-US relationship
财政制度：financial system
景观特征：landscape characteristics
诉讼制度：lawsuit system
草原文化：prairie culture
思潮：ideological trend
社会需要：social demand
导航定位：navigation positioning
大汶口文化：Dawenkou culture
赤峰市：Chifeng City
群体结构：group structure
专科医院：special hospital
数据元素：Data element
保存液：Preservation solution
中国古代哲学：ancient Chinese philosophy
历史过程：historical process
战国：The Warring States
民间社会：folk society
中国妇女：Chinese women
出行方式：travel mode
风景画：landscape painting
价值合理性：value rationality
技术革命：technological revolution
大学生思想政治教育：ideological and political education of college students
行政行为：Administrative acts
陶瓷艺术：ceramic art
中华民国：the Republic of China
权利意识：right consciousness
藏书家：book collector
明治维新：Meiji Restoration
历史规律：historical law
消费异化：consumption alienation
民族旅游：National tourism
文艺学：literature and art
朱元璋：ZHU Yuan-zhang
印度文化：Indian culture
五四：the May 4th Movement
中国史学：Chinese historiography
宗教思想：religious thought
铜镜：Bronze mirror
《尔雅》：Er Ya
休闲生活：leisure life
宋教仁：Song Jiaoren
阅读方法：reading methods
实验语音学：experimental phonetics
历史人物：historical figures
范成大：Fan Chengda
社会主义制度：socialist system
东晋：Eastern Jin Dynasty
漆画：lacquer painting
关羽：Guan Yu
美国妇女：American Women
慈善组织：Charitable Organization
历史叙述：historical narration
社会革命：social revolution
历史决定论：historical determinism
政治伦理：political ethic
地方史：Local History
社会保护：social protection
宪政文化：Constitutional culture
纳粹德国：Nazi Germany
军事教育：military education
视觉传播：visual communication
税制：Taxation System
定性：qualitative analysis
布依族：Buyi nationality
粤东：East Guangdong
装饰艺术：Decorative Arts
文化资源：culture resource
远东：the Far East
理性设计：Rational design
初步研究：preliminary study
辽宁地区：Liaoning area
生态意义：Ecological significance
廉政：honest and clean government
职业技术教育：Vocational-technical education
知识女性：intellectual women
社会心态：social psychology
社会条件：social condition
工艺美术：arts and crafts
外部条件：external condition
教会学校：missionary school
清政府：Qing Dynasty
隋朝：SUI dynasty
文天祥：Wen Tianxiang
三权分立：separation of powers
视界融合：fusion of horizons
历史环境：Historical environment
特别法：special law
审美原则：aesthetic principle
薛福成：Xue Fucheng
历史逻辑：historical logic
律师制度：lawyer system
恽代英：Yun Daiying
土地革命：agrarian revolution
传统工业：traditional industry
沦陷区：enemy-occupied area
青铜文化：Bronze culture
文学革命：literature revolution
甲骨文：Oracle-Bone Inscriptions
张元济：Zhang Yuanji
科学政策：science policy
注音：Phonetic Notation
焦竑：Jiao Hong
学术传统：academic tradition
生平事迹：life story
民族资产阶级：national bourgeoisie
社会科学哲学：philosophy of social science
屈大均：Qu Dajun
尼克松政府：Nixon Administration
福泽谕吉：Fukuzawa Yukichi
法制现代化：legal system modernization
马丁·路德：Martin Luther
文明起源：Origin of civilization
社会价值观：Social Values
人权思想：human rights thought
中苏论战：Sino-Soviet debate
学衡派：Xueheng school
共同理想：Common Ideal
革命党：revolutionary party
刘天华：Liu Tianhua
苏俄：Soviet Russia
初唐：the early Tang dynasty
肯尼迪政府：Kennedy Administration
汪精卫：Wang Jingwei
个人崇拜：Personality Cult
文化记忆：cultural memory
艾森豪威尔政府：Eisenhower Administration
社会再生产：social reproduction
三峡地区：Three Gorges Area
泰山：Mount Taishan
人文因素：human factors
成因分析：genesis analysis
药膳：medicated diet
时间分布：Temporal distribution
古代文明：ancient civilization
桂西：Western Guangxi
摩梭人：Mosuo people
教书育人：imparting knowledge and educating people
中央研究院：Academia Sinica
运输方式：transportation mode
演变过程：Evolution process
存在价值：existence value
环境背景：environmental background
基础数据库：basic database
个人因素：personal factors
满族：Manchu Nationality
系统研究：system research
审美思维：aesthetic thinking
图们江：Tumen River
历史回顾：history review
徽商：Hui merchants
产业开发：industry development
闽南：South Fujian
主体与客体：subject and object
政府购买：government purchase
文化实践：cultural practice
传播效果：communication effects
文学创作：literary works
佛经：Buddhist Scripture
文风：writing style
政治文化：politics and culture
建筑造型：architectural modeling
武汉大学：Wuhan University
关中平原：Guanzhong plain
殷墟：yin ruins
生育文化：Fertility Culture
求真：seeking truth
政治分析：political analysis
比较文化：comparative culture
太谷学派：Taigu School
审美判断：aesthetic judgment
变法：political reform
巴人：Ba People
实践活动：Practical Activities
时空数据：spatio-temporal data
家世：family background
科技翻译：sci-tech translation
传媒文化：media culture
苏区：Soviet Area
历史条件：historical conditions
历史局限：historical limitation
历史真实：historical truth
语法特点：grammatical characteristics
吴伟业：Wu Weiye
新教伦理：Protestant ethics
中国科学社：the science society of China
法律措施：legal measures
中国学者：Chinese scholars
青铜时代：Bronze Age
王昭君：Wang Zhaojun
清代前期：early Qing dynasty
胡宏：Hu Hong
笔墨：Brush and ink
原始宗教：original religion
道德经：Tao Te Ching
真德秀：Zhen Dexiu
战略文化：strategic culture
伍廷芳：Wu Tingfang
刘鹗：Liu E
政治意识形态：political ideology
胡林翼：Hu Linyi
齐国：Qi state
美国内战：American Civil War
婚姻自由：freedom of marriage
最高法院：Supreme Court
历史启示：historical enlightenment
政治认知：political cognition
邓子恢：Deng Zihui
历史感：sense of history
社会达尔文主义：social darwinism
杨增新：Yang Zengxin
伊斯兰文明：Islamic Civilization
篆刻：seal cutting
徐州地区：Xuzhou area
淮河：Huai River
新发现：new discovery
辽河流域：Liaohe river basin
许昌市：Xuchang city
课堂讨论：class discussion
必由之路：the only way
技术规范：technical standard
藏区：Tibetan area
专题研究：monographic study
发展历史：developing history
农业技术：agriculture technology
海盐：sea salt
太行山区：Taihang mountain area
南疆：Southern XinJiang
主要矛盾：main contradiction
防疫：epidemic prevention
方略：General plan
青岛地区：Qingdao area
现代政治：Modern Politics
传承与创新：Inheritance and innovation
锡伯族：xibo nationality
政治影响：political influence
空军：air force
宣传工作：propaganda work
第二次世界大战：World War II
物质生活：Material life
象征意义：symbolic meanings
大理州：Dali prefecture
传统与现代：tradition and modern
祠堂：ancestral temple
历史传统：Historical Tradition
文化观：cultural outlook
历史原因：historical reasons
金沙遗址：Jinsha Site
新政：new policy
外滩：the Bund
新闻宣传：News propaganda
文化传承：Culture inheritance
满族文化：Manchu culture
农民运动：peasant movement
文化属性：cultural attribute
商业发展：commercial development
双重人格：dual personality
温庭筠：Wen Ting-yun
女权运动：feminist movement
教材体系：teaching material system
思想基础：Ideological basis
国际社会：international community
书画：painting and calligraphy
彭德怀：Peng Dehuai
斯里兰卡：Sri Lanka
贺麟：He Lin
日本军国主义：Japanese militarism
遥感考古：Remote sensing archaeology
燕赵文化：Yan-Zhao culture
刘知几：Liu Zhiji
法律至上：supremacy of law
农业文化：Agricultural culture
联邦制：Federal system
内战：civil war
武陵地区：Wuling area
淮海经济区：Huaihai Economic Region
社会团结：social solidarity
陈献章：Chen Xianzhang
瞿佑：Qu You
云冈石窟：Yungang Grottoes
羌族：qiang people
人治：rule of man
经济文化：economic culture
道统：Confucian orthodoxy
刘裕：Liu Yu
学生运动：student movement
革命根据地：revolutionary base
民族工作：national work
个人本位：individual standard
李提摩太：Timothy Richard
大萧条：The Great Depression
学术风格：academic style
陈毅：Chen Yi
行政制度：Administrative system
民权运动：Civil Rights Movement
乡土地理：local geography
历史思维：historical thinking
南北朝：the Northern and Southern dynasties
核战略：nuclear strategy
黑人妇女：Black women
李光耀：Lee Kuan Yew
警察制度：police system
钟敬文：Zhong Jingwen
岳飞：Yue Fei
侠义精神：Chivalrous spirit
今文《尚书》：Jinwen Shangshu
陈寿：Chen Shou
太平洋战争：the pacific war
齐白石：Qi Baishi
中国特色社会主义文化：socialist culture with Chinese characteristics
巴黎公社：Paris Commune
福利制度：welfare system
空间表征：Spatial representation
文化蕴涵：cultural implication
同位素示踪：isotopic tracing
环渤海地区：Bohai Rim
连续过程：continuous process
保护与管理：Protection and Management
不同类型：Different types
孙思邈：Sun Simiao
文物保护：Cultural relic protection
必要条件：essential condition
外场：external field
中国东北：northeastern China
地域环境：regional environment
维修计划：Maintenance plan
云阳县：Yunyang County
中华人民共和国：the People's Republic of China
渔业生产：fishery production
文化功能：culture function
国画：Chinese painting
中医教育：Chinese medicine education
仕途：official career
八卦：Eight Diagrams
秦汉时期：Qin and Han Dynasties
东欧：Eastern Europe
知识水平：knowledge level
情报工作：information work
传统观念：traditional concept
学术渊源：academic origin
生存哲学：philosophy of existence
生活空间：living space
严寒地区：severe cold area
历史建筑：historic buildings
反击：Back Striking
梁思成：Liang Sicheng
行政职能：administrative function
近代转型：modern transformation
新四军：New Fourth Army
人民公社：people's Commune
海防：coast defense
生存状态：living state
政治智慧：political wisdom
统战：united front
唐：Tang dynasty
表演艺术：Performing arts
社会批判：social critique
宗法：patriarchal clan system
邓演达：Deng Yanda
文化中心：Cultural center
封建制度：feudal system
地理科学：geographical science
文化性格：cultural personality
农民起义：peasant uprising
汉武帝：Han Wudi
农民协会：peasant association
老字号：time-honored brand
日本帝国主义：Japanese imperialism
国家图书馆：National Library of China
《新青年》：the New Youth
现实启示：realistic enlightenment
市民文化：citizen culture
游戏教学：Game Teaching
考论：textual research
胡绳：Hu Sheng
大革命时期：the Great Revolution
简牍：Bamboo slips
王先谦：Wang Xianqian
城市RBD：urban RBD
中世纪大学：medieval universities
新石器文化：Neolithic culture
文化类型：cultural type
世界地理：world geography
侯方域：Hou Fangyu
陆贽：Lu zhi
和平解放：peaceful liberation
教育社会学：education sociology
乐教：music education
戴高乐：De Gaulle
君主专制：absolute monarchy
婚姻文化：marriage culture
20世纪上半叶：the first half of the 20th century
日俄战争：Russo-Japanese War
高拱：Gao Gong
修辞策略：rhetoric strategy
曾纪泽：Zeng Jize
刑罚制度：penalty system
青年教育：youth education
文廷式：Wen Tingshi
洪水神话：flood myth
地方政治：local politics
苏雪林：Su Xuelin
华盛顿会议：Washington conference
罗马共和国：Roman Republic
刘安：Liu An
吴佩孚：Wu Peifu
希腊哲学：Greek philosophy
许衡：Xu Heng
货币制度：monetary system
中华传统文化：chinese traditional culture
苏联文学：Soviet literature
软模：Soft mode
服装产业：Garment industry
中国古代：Ancient Chinese
陇东地区：Longdong area
洞庭湖区：Dongting Lake
思想渊源：ideological origin
文化活动：Cultural Activities
洞庭湖：Lake Dongting
岩相分析：petrographic analysis
华北地区：Northern China
前苏联：Former Soviet Union
大冶铁矿：Daye iron mine
黎族：Li minority
人地关系：Human-land relationship
陕北：Northern Shaanxi Province
农业灾害：agricultural disaster
四川地区：Sichuan area
长沙窑：Changsha Kiln
地理教育：geographical education
水汽：Water vapour
植被破坏：vegetation destruction
安全观：security concept
价值构成：Value composition
西奥多·罗斯福：Theodore Roosevelt
建筑形式：Building Form
大庆地区：Daqing area
民族心理：national mentality
19世纪：The 19th century
社会阶层：Social classes
边疆：border area
木材贸易：timber trade
漕运：water transport
贫富差距：the gap between rich and poor
身世：life experience
装饰纹样：decorative patterns
古塔：ancient tower
文化侵略：cultural invasion
寺院经济：temple economy
解题：problem solving
内在因素：internal factors
认识价值：cognitive value
政治活动：political activities
江南文化：Jiangnan Culture
企业价值观：corporate values
类型分析：type analysis
民本思想：people-oriented thought
浙江大学：Zhejiang university
年表：Chronological Table
礼俗：etiquette and custom
问题域：problem domain
古都：ancient capital
军费：military expenditure
国防建设：national defense construction
伍子胥：wu zixu
社会风俗：social custom
宋元：Song and Yuan Dynasties
粮食危机：food crisis
明末：the late Ming dynasty
旅游活动：tourism activities
理论建设：Theory construction
史前文化：prehistoric culture
财产权利：property right
国内贸易：domestic trade
组织形象：organization image
钱大昕：Qian Daxin
社会力量：Social Forces
文化权力：cultural power
思想启蒙：ideological enlightenment
开发与建设：Development and construction
纵横家：Political Strategists
杨昌济：Yang Changji
17世纪：17th Century
少数民族文化：minority culture
农业合作化：agricultural cooperation
宗教观：View of religion
有效政府：efficient government
吴昌硕：Wu Changshuo
传记文学：biographic literature
清前期：early Qing Dynasty
战国时期：the Warring States Period
玄奘：XUAN Zang
班昭：Ban Zhao
民族史：national history
晚年：old age
荀悦：Xun Yue
王守仁：Wang Shouren
个人自由：personal freedom
人生态度：life attitude
人伦：Human relations
民族思想：National thought
杨树达：Yang Shuda
武当道教：Wudang Taoism
大革命：Great Revolution
洪迈：Hong Mai
洪亮吉：Hong Liangji
武装斗争：armed struggle
楚简：Chu bamboo slips
主权国家：sovereign state
社会主义思想：socialist thought
军事改革：military reform
内政：internal affairs
笔记小说：literary sketches
德国文学：German literature
新史学：New History
单一制：unitary system
蔡锷：Cai E
民族精神教育：national spirit education
刘秀：LIU Xiu
妇女观：view of women
社会思想：social thought
绝对精神：absolute spirit
空想社会主义：utopian socialism
货币流通：currency circulation
翻译史：translation history
政治史：political history
家谱：Family tree
工业生产：commercial production
彝族：Yi ethnic group
中转站：Transfer station
公众教育：public education
水利规划：water resources planning
红外热像仪：thermal imager
发展趋向：developing tendency
古地理环境：paleogeographic environment
南通：Nantong city
铁路交通：railway traffic
民族特色：ethnic characteristics
侗族：Dong minority
时代性：the times
岩画：rock painting
美棉：American Cotton
组织演化：structure evolution
专卖制度：monopoly system
吉州窑：Jizhou kiln
社会进步：social development
社会思潮：social trend of thought
五台山：Mount Wutai
历史与现状：history and present situation
保护原则：protection principle
阴阳五行：Yin-Yang and five elements
四时：Four seasons
战斗精神：fighting spirit
西亚：West Asia
女学生：Female students
制衡机制：balance mechanism
文化基础：cultural basis
指导意义：guiding significance
女运动员：female athletes
钧瓷：jun porcelain
古籍文献：ancient books
中韩：China and Korea
地域特色：regional feature
考察报告：Investigation report
北朝：Bei dynasty
空间秩序：Space order
探索实践：exploration and practice
乌苏里江：Wusuli River
文化扩张：Cultural Expansion
滇越铁路：Yunnan-Vietnam Railway
原子弹：atomic bomb
古代城市：ancient city
参政：political participation
考订：textual research
古文化：ancient culture
兼职：Part-time job
阶段划分：Stage division
八旗：eight banners
生长点：growth point
勤工俭学：work-study program
光释光测年：OSL dating
战略转变：strategic transformation
舞蹈艺术：dancing art
军事地理：military geography
文采：literary grace
柏木：Cupressus funebris
经济控制：economic control
方志：local chronicles
春秋时期：Spring and Autumn Period
主流价值观：mainstream values
政治利益：political interests
过渡阶段：transitional stage
土地问题：land problem
庄园经济：manor economy
邹韬奋：Zou Tao-fen
审美范式：aesthetic paradigm
传播技术：communication technology
阅读文化：reading culture
《晋书》：Jin Shu
柳诒徵：Liu Yizheng
考述：textual research
社会主义道路：Socialist road
傅斯年：Fu Si-nian
札记：Reading notes
新青年：New Youth
审美意象：aesthetic images
张闻天：Zhang Wen-tian
乾隆：Qian Long
西进运动：westward movement
竺可桢：Zhu Kezhen
西昆仑山：West Kunlun Mountains
中国古代史：Chinese ancient history
第二次鸦片战争：the second Opium War
《山海经》：Shan Hai Jing
欧洲文化：European culture
资本主义经济：Capitalist economy
价值重构：value reconstruction
运城盆地：Yuncheng Basin
丧葬习俗：funeral customs
马相伯：Ma Xiangbo
学术独立：academic independence
维多利亚时代：Victorian Age
性暴力：sexual violence
社会民主党：social democratic party
酒神精神：Dionysus spirit
文化内蕴：cultural connotation
宋元时期：Song and Yuan Dynasties
萧衍：Xiao Yan
萧绎：Xiao Yi
吴梅村：Wu Meicun
杨简：YANG Jian
李斯：Li Si
神秘文化：mysterious culture
历史认识论：historical epistemology
古希腊文化：ancient Greek culture
公孙龙：Gongsun Long
历史教科书：history textbook
新英格兰：New England
钱玄同：Qian Xuantong
地域文学：regional literature
台湾当局：Taiwan authorities
杨虎城：Yang Hucheng
会党：secret society
夏文化：Xia culture
财政收支：financial revenue and expenditure
历史定位：historical orientation
秘密社会：secret society
陈诚：Chen Cheng
宪政改革：constitutional reform
端午：Dragon Boat Festival
历史教训：historical lesson
军事文化：military culture
少年犯罪：juvenile delinquency
王明：Wang Ming
王元化：Wang Yuanhua
历史内涵：historical connotation
历史教师：history teacher
革命文化：revolutionary culture
唐甄：Tang Zhen
儒家经典：Confucian classics
教育近代化：educational modernization
日军：Japanese army
君主立宪制：constitutional monarchy
外交关系：diplomatic relations
二里头遗址：Erlitou site
大运河：Grand Canal
三门峡市：Sanmenxia city
中国西南：Southwestern China
美学价值：esthetics value
艺术形态：artistic form
制作工艺：manufacturing process
经济优势：economic advantage
基本特性：basic characteristic
有害生物：harmful organism
苏南：Southern Jiangsu province
长江中游：the middle reaches of Yangtze River
崂山：Laoshan Mountain
纹样：decorative pattern
核危机：Nuclear Crisis
发展规律：development rule
科学考察：scientific investigation
热处理技术：heat treatment technology
系统网络：system network
气候环境：climate environment
三江地区：Sanjiang area
古陶瓷：ancient ceramics
地位和作用：status and function
内在联系：Inner link
实用理性：pragmatic reason
核心结构：core structure
经营环境：business environment
皖南：Southern Anhui Province
世界大战：world war
城市布局：urban layout
爱情观：Love View
保安族：Baoan nationality
教师作用：teacher's function
医疗实践：medical practice
白族：The Bai nationality
考据学：textual criticism
教育转型：Educational transformation
教育内容：education content
严格管理：strict management
组织整合：Organizational integration
民主政治建设：democratic political construction
第三磨牙：the third molar
举重：weight lifting
李德裕：Li Deyu
科技伦理：ethics of science and technology
农村建设：Countryside Construction
纸币：paper currency
王铎：Wang Duo
文化线路：Cultural route
居住隔离：residential segregation
思想史：thought history
国家权力：the state power
海外贸易：foreign trade
旅游价值：Tourist value
精神资源：Spiritual Resources
城市文明：city civilization
教育训练：education and training
社会性质：social nature
马尔库塞：Herbert Marcuse
茶馆：tea house
审美信息：aesthetic information
道德困境：moral dilemma
于谦：Yu Qian
敦煌壁画：Dunhuang frescoes
生产劳动：production labor
归因：Causal attribution
铜仁市：Tongren city
侨乡：hometown of overseas Chinese
治安管理：public order management
漆艺：Lacquer art
徐福：Xu Fu
地方志：local chronicle
和平解决：peaceful settlement
殖民地时期：Colonial period
文化载体：cultural carrier
秦始皇：Qin Shihuang
茶叶贸易：Tea trade
财政预算：financial budget
农村文化：Countryside culture
茶具：tea set
农村政策：rural policy
冯玉祥：Feng Yu-xiang
《纽约时报》：New York Times
权利限制：limitation of rights
新闻史：Journalism History
吕祖谦：Lu Zuqian
精神产品：spiritual product
抗日战争时期：anti-Japanese war
社会功用：Social Function
《史通》：Shi Tong
范长江：Fan Changjiang
丁日昌：Ding Richang
文学文本：Literature text
美国媒体：American media
文化保守主义：Culture conservatism
新闻政策：news policy
法律精神：legal spirit
信息渠道：information channel
新华社：Xinhua News Agency
商业贸易：commercial trade
土地权利：land rights
战略互动：Strategic Interaction
哺乳动物群：Mammalian fauna
中国数学史：history of Chinese mathematics
地理教师：geography teacher
昆仑山：Kunlun mountains
任鸿隽：Ren Hongjun
亚细亚生产方式：Asian mode of production
乡村工业：rural industry
原始思维：original thinking
公益事业：public welfare
感性活动：perceptual activity
家风：family tradition
唐代文学：literature in Tang Dynasty
五权宪法：Five-power Constitution
军事工业：military industry
中国国民党：Chinese Kuomintang
心理预期：psychological expectation
社会内涵：social connotation
左翼：left wing
君权：monarchical power
舞蹈教育：dancing education
民族区域自治：regional ethnic autonomy
演奏风格：performance style
范文澜：Fan Wenlan
岳阳楼：Yueyang Tower
婚姻习俗：marriage Customs
童工：child labor
宪政思想：constitutional thought
徐世昌：Xu Shichang
监察制度：supervision system
历史成因：historical causes
《国语》：Guo Yu
熊希龄：Xiong Xiling
魏玛共和国：Weimar Republic
美德伦理：virtue ethics
李绂：Li Fu
二次革命：The Second Revolution
东林党：Donglin Party
新儒学：New Confucianism
祖籍：ancestral home
外交辞令：diplomatic language
民族特征：national characteristics
大国：great power
自治组织：autonomous organization
洋务派：westernization group
民族英雄：national hero
选举法：electoral law
马克思主义史学：Marxist historiography
赫德：Robert Hart
中国近代化：chinese modernization
历史主体：historical subject
领导教育：leadership education
朝贡贸易：tributary trade
达赖喇嘛：Dalai Lama
南通大学：Nantong University
政治危机：political crisis
《资治通鉴》：Zi Zhi Tong Jian
英国学派：English School
军事伦理：military ethics
土改：land reform
华人社会：Chinese Community
倪瓒：Ni Zan
妇女就业：women employment
民主精神：democratic spirit
全国运动会：national games
阶级结构：Class structure
艺术想象：artistic imagination
上海租界：Shanghai concession
赫哲族：Hezhe nationality
扬州学派：Yangzhou school
口述史学：oral history
美国历史：American history
联合政府：coalition government
民事调解：Civil mediation
民族解放：national liberation
刘海粟：Liu Haisu
军事斗争：military struggle
中国近现代：modern China
大同矿区：Datong mining area
鸡血石：chicken-blood stone
研究领域：research fields
蜡模：Wax Pattern
使用方法：use method
豫北：North Henan
综合研究：integrated study
类比分析：Analogy analysis
汉江流域：Hanjiang River Basin
土地承载力：land bearing capacity
里根政府：Reagan Administration
北方地区：North China
白瓷：white porcelain
人口变化：population change
工业文化：industrial culture
黄河中游：the middle reaches of Yellow River
同心圆：Concentric circle
十七大：the 17th CPC National Congress
楚国：Chu Kingdom
饮食结构：diet structure
游牧经济：nomadic economy
铁质文物：Iron relics
社会分析：social analysis
盐害：Salt Injury
中国现代化：China's modernization
学风：learning style
水运：water transport
哈尼族：The Hani nationality
三要素：three factors
等级结构：Grade structure
伦理实体：ethical entity
汉中地区：Hanzhong area
理学：Confucian school of idealist philosophy
专业发展：specialty development
适应能力：adaptive capacity
战备：combat readiness
建制：organizational system
得失：success and failure
性格特征：personality characteristics
时间观：time concept
基本理念：Basic ideas
黄埔军校：Huangpu Military Academy
社会民主：Social Democracy
沈葆桢：Shen Baozhen
历史遗产：historical heritage
宋诗：Song Poems
建筑特色：architectural feature
结构二重性：duality of structure
水利管理：conservancy management
成语：set phrase
企业边界：firm boundaries
美学内涵：Aesthetic connotation
刘铭传：Liu Mingchuan
国际联盟：the League of Nations
语言运用：language usage
人才观：talent outlook
疏勒河：Shule River
伊犁河流域：Yili river basin
炎帝：Yan Emperor
蚩尤：Chi You
南昌：Nanchang City
社会主义建设：socialism construction
政治认同：political approval
经验与启示：experience and Enlightenment
政治关系：political relationship
文化含义：Cultural meaning
政治民主化：political democracy
叙事方式：narrative way
后期：Later Stage
空间分类：spatial classification
李陵：Li Ling
民族危机：National Crisis
陇海铁路：Longhai railway
长江三峡：the Three Gorges
城镇化进程：urbanization process
艺术内涵：artistic connotation
人生价值观：outlook on life
粮价：grain price
泰安：Tai an
梅兰芳：Mei Lanfang
包世臣：Bao Shichen
近代图书馆：modern library
土族：Tu Minority
敦煌文书：Dunhuang documents
胡愈之：Hu Yuzhi
大理国：Dali Kingdom
博尔赫斯：Jorge Luis Borges
五四时期：the May 4th movement
歌词：song lyrics
毛奇龄：Mao QiLing
平民意识：civilian consciousness
政治基础：political foundation
张三丰：Zhang San-feng
原则和方法：Principle and method
考工记：Kao Gong Ji
使命感：Sense of Mission
苏秦：Su Qin
托马斯·杰斐逊：Thomas Jefferson
民族历史：national history
杜亚泉：Du Yaquan
经济援助：economic assistance
中国外交：China diplomacy
生年：Birth year
科学活动：scientific activities
拓跋鲜卑：Tuoba Xianbei
《水经注》：Shui jing zhu
社会研究：social study
更新世晚期：Late Pleistocene
奥林匹克精神：the Olympic spirit
活化石：living fossil
夏朝：Xia Dynasty
教育类课程：Educational courses
赵文化：Zhao Culture
生态精神：ecological spirit
太湖平原：Taihu Plain
邹衍：ZOU Yan
汉墓：Han Tomb
劳资关系：labor-capital relation
私塾：old-style private school
景颇族：Jingpo nationality
马歇尔计划：the Marshall Plan
对华政策：China policy
杨度：Yang Du
毕沅：Bi Yuan
戴季陶：DAI Ji-tao
族源：ethnic origin
廖仲恺：Liao Zhongkai
元宵节：Lantern Festival
解放战争：War of Liberation
早期工业化：early industrialization
史官：official historian
沈尹默：Shen Yinmo
西方史学：western historiography
命运悲剧：tragedy of fate
张伯苓：Zhang Boling
黄金时代：Golden Age
李秀成：Li Xiu-cheng
父子：father and son
政治意义：Political Significance
歌舞：song and dance
近代社会：modern society
历史想象：historical imagination
陈铨：Chen Quan
日美同盟：Japan-US alliance
隋：Sui dynasty
门罗主义：Monroe Doctrine
宗室：Imperial Clan
河洛地区：Heluo Area
蒋梦麟：Jiang Menglin
新民主主义革命：the New Democratic Revolution
魏延：Wei Yan
赦免制度：pardon system
土司制度：Tusi system
社会立法：social legislation
文学空间：literary space
军事制度：military system
稻作文化：rice culture
历史反思：historical reflection
胡汉民：Hu Hanmin
陶希圣：Tao Xi-sheng
吴澄：Wu Cheng
精神品格：spiritual character
三峡区域：Three Gorges region
集体谈判：collective negotiation
全盘西化：wholesale Westernization
冯道：Feng Dao
和平队：Peace Corps
正史：official history
阮大铖：Ruan Dacheng
美国传教士：American Missionaries
彭真：PENG Zhen
岳石文化：Yueshi culture
中东政策：Middle East policy
胡雪岩：Hu Xueyan
农业社会：agricultural society
顾维钧：Gu Weijun
孝文帝：Emperor Xiaowen
伍德罗·威尔逊：Woodrow Wilson
东亚文化：East asian Culture
党争：party struggle
俄国文学：Russian Literature
文化象征：cultural symbol
商业资本：commercial capital
政治悲剧：political tragedy
外交实践：diplomatic practice
杜鲁门政府：Truman Administration
民族独立：National Independence
核政策：nuclear policy
信用贷款：credit loan
党性教育：Party spirit education
皮日休：Pi Rixiu
美国对外政策：American foreign policy
现代都市：modern city
保护与传承：protection and inheritance
造型特征：Form feature
研究模式：research pattern
垃圾管理：waste management
船舶污染：ship pollution
国家政策：state policy
盐池：Yanchi county
马六甲海峡：Malacca strait
铸造技术：casting technology
闽江流域：Minjiang River Basin
新中国：the People's Republic of China
东汉：Eastern-Han Dynasty
赣江流域：Ganjiang River Basin
汽车运输：automobile transportation
政策演变：policy evolution
塔里木河中游：middle reaches of Tarim River
技术手段：technological means
