神经网络：neural network
离子选择电极：ion-selective electrode
施工设计：construction design
应急物流：emergency logistics
游离氨基酸：free amino acids
数学建模：mathematics modeling
吸收剂量：absorbed dose
住宅小区：Residential district
氯离子：chlorine ion
三价铬：trivalent chromium
浓度场：concentration field
珠三角：Pearl River Delta
景观结构：Landscape structure
区域竞争力：regional competitiveness
厄尔尼诺：El Nino
SIMPLE算法：SIMPLE algorithm
社会问题：social problem
技术扩散：Technology diffusion
抗性基因：resistance gene
合作机制：cooperation mechanism
结构学习：Structure learning
漏风：air leakage
胞外多糖：extracellular polysaccharide
枯草杆菌：Bacillus subtilis
富马酸：Fumaric acid
聚偏氟乙烯：polyvinylidene fluoride
能量回收：energy recovery
热释放速率：heat release rate
GC-MS分析：GC-MS analysis
余热回收：waste heat recovery
声波：Sound wave
新模式：new mode
人口增长：population growth
傅里叶级数：fourier series
物质文明：material civilization
工艺优化：technology optimization
流场：fluid field
生态系统管理：ecosystem management
规整填料：structured packing
含能材料：energetic materials
模板法：template method
原子吸收分光光度法：atomic absorption spectrophotometry
六价铬：hexavalent chromium
石羊河流域：Shiyang River basin
污泥处理：sludge treatment
废塑料：waste plastics
录井：mud logging
开封市：Kaifeng City
分子机理：molecular mechanism
数据建模：data modeling
消防安全：fire safety
创新管理：innovation management
人员素质：personnel quality
土壤酸化：soil acidification
随机建模：Stochastic Modeling
环境影响：environmental influence
Plackett-Burman设计：Plackett-Burman design
污泥脱水：sludge dewatering
CO_2：carbon dioxide
电场强度：electric field strength
Q235钢：Q235 steel
环境风险评价：Environmental risk assessment
水资源保护：water resources protection
大直径：Large diameter
氧化脱硫：oxidative desulfurization
焙烧温度：calcination temperature
生态系统服务功能：ecosystem services
分配系数：distribution coefficient
软启动：soft start
电磁流量计：electromagnetic flowmeter
声场：sound field
报警系统：alarm system
清洁能源：clean energy
群落演替：community succession
SD卡：SD card
年代际变化：interdecadal variation
环境地球化学：environmental geochemistry
气象条件：meteorological conditions
污染指数：pollution index
能量效率：energy efficiency
健康风险评价：health risk assessment
动力学方程：dynamic equation
油膜：oil film
科学内涵：scientific connotation
分类体系：classification system
社会评价：social evaluation
N-S方程：N-S equations
法律控制：Legal Control
接枝聚合：graft polymerization
油气田：oil and gas field
化学处理：chemical treatment
呼吸速率：respiration rate
亚硫酸钠：sodium sulfite
食物链：food chain
气田：gas field
土壤盐渍化：soil salinization
大气校正：atmospheric correction
地下水系统：groundwater system
产氢：hydrogen production
填料塔：packed column
厌氧颗粒污泥：anaerobic granular sludge
外观质量：appearance quality
清洁燃料：clean fuel
丁基橡胶：butyl rubber
培养基优化：medium optimization
节能技术：energy-saving technology
加氢反应器：Hydrogenation reactor
基因组文库：Genomic library
自然选择：natural selection
水库调度：reservoir operation
行为经济学：behavioral economics
电动自行车：electric bicycle
水下航行器：underwater vehicle
火灾报警：fire alarm
土壤修复：soil remediation
火焰原子吸收法：flame atomic absorption spectrometry
生态风险评价：ecological risk assessment
污水污泥：sewage sludge
注水：water flooding
火灾调查：fire investigation
低压：low pressure
城市林业：urban forestry
研究设计：research design
饮水：drinking water
电化学还原：Electrochemical reduction
南水北调：south-to-north water transfer project
有色金属：nonferrous metals
磁处理：magnetic treatment
有丝分裂指数：mitotic index
蚕豆：broad bean
模块设计：Module Design
植被演替：vegetation succession
主成分：Principal component
太湖流域：Taihu basin
生物质气化：biomass gasification
系统安全：system safety
管理方法：management method
空气品质：air quality
WTO规则：WTO rules
生理响应：physiological response
联系数：connection number
好氧反硝化：aerobic denitrification
中国林蛙：Rana chensinensis
空气净化：Air purification
孔雀绿：malachite green
固液分离：Solid-Liquid Separation
游离甲醛：free formaldehyde
徐州市：Xuzhou City
改性淀粉：modified starch
电石渣：carbide slag
化学沉淀法：chemical precipitation
安全监控：safety monitoring
从头算：ab initio calculation
热电厂：thermal power plant
可持续发展战略：sustainable development strategy
石化工业：petrochemical industry
散射系数：scattering coefficient
初级生产力：Primary productivity
内阻：internal resistance
烟台市：Yantai City
潜热：latent heat
氢氟酸：hydrofluoric acid
事故树：fault tree
水质预测：water quality prediction
硫酸铝：aluminum sulfate
合理利用：Rational utilization
流场分析：flow field analysis
灰色聚类：grey clustering
瑞利散射：Rayleigh scattering
穿透曲线：breakthrough curve
超声空化：ultrasonic cavitation
停留时间：residence time
中水回用：reclaimed water reuse
降解动力学：degradation kinetics
工业试验：Industrial test
甲基紫：methyl violet
合肥市：Hefei City
游离脯氨酸：free proline
北部湾：Beibu Gulf
切削液：cutting fluid
层次分析法(AHP)：analytic hierarchy process(AHP)
氮肥：N fertilizer
组织管理：organization and management
大气边界层：atmospheric boundary layer
抽水试验：pumping test
水热稳定性：hydrothermal stability
校园环境：campus environment
遗传程序设计：genetic programming
统计分布：statistical distribution
在线学习：online learning
阳极溶出伏安法：anodic stripping voltammetry
民航：Civil Aviation
铅离子：lead ion
处理工艺：Treatment process
胜坨油田：Shengtuo Oilfield
天津市：Tianjin City
熔化温度：melting temperature
单细胞蛋白：single cell protein
白腐菌：white rot fungus
污染负荷：pollution load
固态发酵：solid fermentation
粒径：particle diameter
粉末活性炭：powdered activated carbon
酸性染料：acid dyes
土壤剖面：soil profile
螯合树脂：chelating resin
水源：water source
成分分析：composition analysis
氯化锌：zinc chloride
洪水灾害：flood disaster
风向：wind direction
综合性实验：Comprehensive experiment
区域开发：regional development
硫磺回收：sulfur recovery
石墨炉原子吸收法：Graphite furnace atomic absorption spectrometry
热带假丝酵母：Candida tropicalis
城市垃圾：municipal solid waste
吸附热力学：adsorption thermodynamics
刚果红：congo red
动态预测：dynamic prediction
工业以太网：Industry Ethernet
文化环境：cultural environment
印刷电路板：printed circuit board
模糊概率：fuzzy probability
辩证统一：dialectical unity
酵母双杂交系统：Yeast two-hybrid system
离体：in vitro
物元分析：matter element analysis
阳离子聚丙烯酰胺：cationic polyacrylamide
除铁：iron removal
热平衡：thermal balance
石煤：stone coal
环境信息：environmental information
吸声系数：sound absorption coefficient
木本植物：woody plants
过程集成：process integration
青海：Qinghai Province
煤气：coal gas
职业病：Occupational disease
彗星实验：Comet Assay
重心：center of gravity
支撑体系：support system
制度改革：system reform
中央政府：central government
表面自由能：surface free energy
傅里叶变换红外光谱：Fourier Transform Infrared Spectroscopy
染料废水：dyeing wastewater
土壤性质：soil property
剩余污泥：excess sludge
中水：reclaimed water
电位滴定法：Potentiometric titration
水力停留时间：hydraulic retention time
碳酸钾：potassium carbonate
厌氧氨氧化：anaerobic ammonium oxidation
聚丙烯酸钠：sodium polyacrylate
矿物油：mineral oil
高分辨：high resolution
回流比：reflux ratio
等离子弧：plasma arc
竞争吸附：competitive adsorption
水污染控制：water pollution control
松花江：Songhua River
余氯：Residual chlorine
社会成本：social cost
系统维护：system maintenance
城乡居民：urban and rural residents
非正规就业：informal employment
零价铁：zero-valent iron
控制因素：control factor
矿山安全：mine safety
羧甲基淀粉：carboxymethyl starch
综合开发：comprehensive development
应急监测：emergency monitoring
SO2：sulfur dioxide
湿地生态系统：wetland ecosystem
植被覆盖度：vegetation coverage
自然景观：natural landscape
物相分析：phase analysis
褐煤：brown coal
分形结构：fractal structure
自组织临界性：self-organized criticality
有效供给：effective supply
技术预见：technology foresight
防水涂料：waterproof coating
酸处理：acid treatment
电气控制：electrical control
转速：rotating speed
痕量元素：trace element
聚对苯二甲酸乙二醇酯：Poly(ethylene terephthalate)
磷矿：phosphate rock
超氧化物歧化酶(SOD)：superoxide dismutase(SOD)
金相分析：metallographic analysis
陆地生态系统：terrestrial ecosystem
绿色施工：green construction
表面电荷：surface charge
香根草：vetiveria zizanioides
水头损失：head loss
城市化水平：urbanization level
鱼粉：fish meal
吐哈油田：Tuha oilfield
湿地资源：wetland resources
煤沥青：coal tar pitch
混合培养：mixed culture
单宁酸：tannic acid
石墨炉：graphite furnace
聚醚多元醇：Polyether polyol
饮用水处理：drinking water treatment
反应级数：reaction order
绿色技术：green technology
核安全：nuclear safety
环境规制：environmental regulation
杭州市：Hangzhou city
重复博弈：repeated game
时空：time and space
塔里木河流域：Tarim River Basin
自然生态：natural ecology
政策支持：Policy support
实时传输：real-time transmission
影响因子：influence factors
背景噪声：background noise
应急响应：emergency response
羧甲基纤维素：carboxymethyl cellulose
微波技术：microwave technology
设计模型：design model
原子荧光法：atomic fluorescence spectrometry
循环水系统：circulating water system
人为干扰：human disturbance
叶绿素荧光参数：chlorophyll fluorescence parameters
西安市：Xi'an city
需水量：water requirement
粗糙度：surface roughness
吸附容量：adsorption capacity
指标权重：index weight
植物生长：plant growth
无机氮：inorganic nitrogen
植物纤维：plant fiber
数值研究：numerical study
生物多样性保护：biodiversity conservation
气泡：air bubble
湿地公园：wetland park
分子生态学：molecular ecology
粉尘爆炸：dust explosion
绿色经济：green economy
多孔淀粉：porous starch
能量分析：energy analysis
接枝改性：graft modification
实验教学改革：experimental teaching reform
分形模型：fractal model
煤矿开采：coal mining
排污权交易：Emission trading
农业非点源污染：agricultural non-point source pollution
低浓度：low concentration
废气处理：waste gas treatment
连接性指数：connectivity index
根系形态：root morphology
丹江口水库：Danjiangkou reservoir
环境管理体系：environmental management system
A/O工艺：A/O process
片上系统：system on chip
新城市主义：New urbanism
暗物质：dark matter
官厅水库：Guanting Reservoir
ZSM-5分子筛：ZSM-5 zeolite
污染源：pollution sources
在线分析：on-line analysis
茶皂素：tea saponin
战略环境评价：strategic environmental assessment
硫酸锰：manganese sulfate
碳源：carbon sources
普鲁士蓝：Prussian blue
催化分解：catalytic decomposition
喀斯特地区：karst area
进化树：Phylogenetic tree
水安全：water security
运行优化：Operation optimization
影响系数：influence coefficient
氮沉降：nitrogen deposition
巨大芽孢杆菌：Bacillus megaterium
水市场：water market
内生增长：endogenous growth
社会契约：social contract
非传统安全：non-traditional security
真空蒸馏：vacuum distillation
大气气溶胶：atmospheric aerosol
黄浦江：Huangpu River
邻苯二甲酸二丁酯：dibutyl phthalate
活性炭吸附：activated carbon adsorption
烟道气：flue gas
氧化钴：cobalt oxide
常温：Room temperature
硫铝酸盐水泥：sulphoaluminate cement
氧化亚铜：cuprous oxide
政府政策：government policy
实例推理：Case-based reasoning
水源水：source water
临界速度：critical velocity
临沂市：Linyi City
混沌优化：Chaotic optimization
富里酸：fulvic acid
生化组成：biochemical composition
公共健康：public health
中肋骨条藻：Skeletonema costatum
冶金性能：metallurgical property
有机物：organic compounds
毒性试验：toxicity test
土地整理：Land arrangement
硫化钠：sodium sulfide
水蒸气：Water Vapor
恢复生态学：restoration ecology
旋转填料床：rotating packed bed
转炉煤气：converter gas
浊点：cloud point
奥运：olympic games
天然水：natural water
潮滩：tidal flat
克氏原螯虾：Procambarus clarkii
随机游走：random walk
分析系统：analysis system
MCF-7细胞：MCF-7 cells
清洗剂：cleaning agent
生态经济系统：Eco-economic system
处理方法：processing method
富集因子：enrichment factor
氯化铁：ferric chloride
金沙江：Jinsha River
淡水鱼：freshwater fish
噪声预测：noise prediction
萼花臂尾轮虫：Brachionus calyciflorus
扎龙湿地：Zhalong Wetland
协同萃取：synergistic extraction
二甘醇：diethylene glycol
驱动因子：driving factors
观赏植物：ornamental plants
经济环境：economic environment
法律对策：legal countermeasures
石油磺酸盐：petroleum sulfonate
中华稻蝗：Oxya chinensis
水力负荷：hydraulic loading
碱回收：alkali recovery
垃圾焚烧：waste incineration
反胶束：Reverse micelle
超临界CO2：supercritical CO_2
浮选药剂：Flotation reagent
荧光假单胞菌：Pseudomonas fluorescens
紫花苜蓿：Medicago sativa L
熵权法：Entropy method
控制方案：control scheme
秋茄：Kandelia candel
基因组DNA：genome DNA
塔玛亚历山大藻：Alexandrium tamarense
光程差：Optical path difference
盲信号分离：Blind source separation
VisualFoxPro：Visual FoxPro
浓差极化：concentration polarization
战略措施：strategic measures
塔克拉玛干沙漠：Taklimakan Desert
公用事业：public utility
资源环境：resources and environment
SBR工艺：SBR process
水泥工业：cement industry
多晶硅：polycrystalline silicon
崇明岛：Chongming Island
趋势面分析：trend surface analysis
成都平原：Chengdu plain
微生物生物量：microbial biomass
高分子化学：polymer chemistry
综合实验：comprehensive experiment
空间差异：spatial difference
植物群落：plant communities
地下水库：groundwater reservoir
传热特性：heat transfer characteristics
分离技术：Separation technology
氮平衡：nitrogen balance
单线态氧：Singlet oxygen
公路网规划：highway network planning
初始条件：initial condition
精炼渣：refining slag
环境磁学：environmental magnetism
重金属污染：heavy metals pollution
炉外精炼：secondary refining
铅污染：lead pollution
湿法炼锌：zinc hydrometallurgy
非离子表面活性剂：non-ionic surfactant
硫铁矿烧渣：Pyrite cinder
水玻璃：Sodium silicate
测量方法：measurement methods
二甲酚橙：xylenol orange
煤焦：coal char
遗传神经网络：genetic neural network
制革废水：tannery wastewater
吸附平衡：Adsorption equilibrium
蜡状芽孢杆菌：Bacillus cereus
晶格畸变：lattice distortion
分子连接性指数：molecular connectivity index
集成技术：integrated technology
水平衡：water balance
荧光强度：Fluorescence Intensity
评估模型：assessment model
道路照明：road lighting
空中交通管理：air traffic management
绿肥：Green manure
水文化：Water culture
噪声测量：noise measurement
南阳市：Nanyang city
模糊评估：fuzzy evaluation
中国政府：Chinese government
重铬酸钾：potassium dichromate
京都议定书：Kyoto Protocol
品质控制：quality control
复合粒子：composite particle
城市河流：urban river
烟曲霉：Aspergillus fumigatus
早古生代：Early Paleozoic
升温速率：heating rate
遥感信息：remote sensing information
分子间相互作用：intermolecular interaction
水力特性：hydraulic characteristic
钱塘江：Qiantang River
地方性知识：local knowledge
剪切力：shear stress
压载水：ballast water
地震灾害：Seismic disaster
菌根真菌：Mycorrhizal fungi
安培检测：Amperometric detection
养分流失：Nutrient loss
生态哲学：ecological philosophy
小麦淀粉：Wheat starch
核反应堆：nuclear reactor
规模效应：scale effect
后验概率：posterior probability
热胁迫：Heat stress
催化湿式氧化：Catalytic wet air oxidation
测定方法：measuring method
化学性质：Chemical properties
余热利用：waste heat utilization
乙醇发酵：ethanol fermentation
可膨胀石墨：expandable graphite
降滤失剂：filtrate reducer
Pd/C催化剂：Pd/C catalyst
结合常数：Binding constant
环境安全：environmental safety
氰化浸出：cyanide leaching
墙体材料：wall material
丝状真菌：filamentous fungi
表面性质：surface property
鲢鱼：Silver carp
土地利用/覆被变化：land use/cover change
Fenton反应：Fenton reaction
石油工程：petroleum engineering
高尔夫球场：Golf course
景观多样性：landscape diversity
土地开发：land development
农村工业化：rural industrialization
尾矿坝：tailing dam
激励相容：incentive compatibility
醋酸纤维素：cellulose acetate
煤炭开采：coal mining
石油库：oil depot
双极膜：bipolar membrane
十六烷基三甲基溴化铵：cetyltrimethylammonium bromide
多相流：multi-phase flow
工业生态学：Industrial ecology
异养细菌：Heterotrophic bacteria
地球系统科学：earth system science
密度分布：density distribution
硝化抑制剂：nitrification inhibitor
磁分离：magnetic separation
绿脓杆菌：Pseudomonas aeruginosa
夹点技术：pinch technology
土壤微生物量：Soil microbial biomass
遥感数据：remote sensing data
渣浆泵：slurry pump
发酵动力学：fermentation kinetics
农药废水：pesticide wastewater
技术方案：technical scheme
恒温：constant temperature
信息扩散：Information diffusion
H_2O_2：hydrogen peroxide
流动分析：flow analysis
莱州湾：Laizhou Bay
空间尺度：Spatial scale
淀粉废水：starch wastewater
草地生态系统：grassland ecosystem
移动床：moving bed
烟煤：bituminous coal
工程技术：engineering technology
传质模型：mass transfer model
质量信息：quality information
洁净室：clean room
水力模型：hydraulic model
缙云山：Jinyun Mountain
环境税：environmental tax
人口密度：population density
实验经济学：experimental economics
阻塞率：blocking probability
发芽指数：Germination index
生态重建：ecological reconstruction
回收利用：recovery and utilization
样品前处理：sample pretreatment
动态：dynamic state
石油烃：petroleum hydrocarbon
废渣：waste residue
生长效应：growth effect
离子膜：ion-exchange membrane
静电除尘器：electrostatic precipitator
敏感度分析：sensitivity analysis
二氧化氮：nitrogen dioxide
氯化亚铜：cuprous chloride
腐蚀磨损：corrosive wear
江苏油田：Jiangsu oilfield
官能团：functional group
南水北调工程：South-to-north Water Transfer Project
哈尔滨市：Harbin City
氧化降解：Oxidative degradation
运行维护：operation and maintenance
HSE管理：HSE management
半衰期：half life
监测数据：monitoring data
气象要素：meteorological element
绿色产业：green industry
有机化合物：organic compound
集成创新：integrated innovation
苹果园：apple orchard
特性参数：characteristic parameter
系统规划：system planning
喀斯特石漠化：Karst rocky desertification
施工设备：construction equipment
机会约束规划：chance-constrained programming
絮凝活性：flocculating activity
邻苯二甲酸酯：phthalate esters
绿色开采：green mining
溶出伏安法：stripping voltammetry
退耕还林：returning farmland to forest
生物制氢：biohydrogen production
荧光淬灭：fluorescence quenching
玉米淀粉：maize starch
过碳酸钠：sodium percarbonate
微生物絮凝剂：microbial flocculants
水葫芦：water hyacinth
共沸蒸馏：azeotropic distillation
自组织理论：self-organization theory
吹扫捕集：Purge and trap
事故树分析：Fault Tree Analysis
热水：hot water
防控：prevention and control
甲基红：methyl red
海湾扇贝：Argopecten irradians
生态控制：ecological control
抗性机制：resistance mechanism
网络编程：network programming
次生代谢：secondary metabolism
并联运行：parallel operation
石油污染：oil pollution
质量浓度：Mass concentration
光污染：light pollution
有机改性：organic modification
人类健康：human health
白色污染：white pollution
培养条件：cultural condition
褐土：Cinnamon soil
铁粉：iron powder
氮源：nitrogen sources
土地沙漠化：land desertification
好氧处理：aerobic treatment
生态评价：ecological evaluation
退化生态系统：degraded ecosystem
比较法：comparative law
继续教育：continual education
酸性土壤：acid soil
中国北方：North China
方案选择：scheme selection
互动式教学：Interactive teaching
防灾减灾：disaster prevention and reduction
耐火极限：fire resistance
虾夷扇贝：Patinopecten yessoensis
Web系统：Web system
环境样品：Environmental samples
海绵铁：sponge iron
k-ε模型：k-ε model
挥发性有机化合物：volatile organic compounds
生长动力学：growth kinetics
硫回收：sulfur recovery
消毒副产物：disinfection by-products
状态空间法：state space method
人居环境：human settlement environment
拜耳法：Bayer process
占空比：Duty ratio
应急机制：emergency mechanism
磁性纳米粒子：Magnetic nanoparticles
补偿标准：compensation standard
棕壤：brown soil
氧化机理：oxidation mechanism
光谱反射率：spectral reflectance
地震应急：earthquake emergency
含盐量：salt content
海洋微藻：marine microalgae
油田采出水：oilfield produced water
UDP协议：UDP protocol
先进技术：advanced technology
磺基水杨酸：sulfosalicylic acid
耗氧量：oxygen consumption
污染评价：Pollution evaluation
珠江：Pearl River
膜萃取：membrane extraction
热值：calorific value
评定方法：evaluation method
机理模型：mechanism model
脱乙酰度：degree of deacetylation
苏州河：Suzhou Creek
生存环境：living environment
水质净化：water purification
动态吸附：dynamic adsorption
非线性吸收：nonlinear absorption
火电机组：thermal power unit
陕西省：Shanxi Province
控制论：control theory
保护利用：protection and utilization
生态适应：Ecological adaptation
森林健康：Forest health
汛期：flood season
管理理念：management concept
公平与效率：fairness and efficiency
物理机制：physical mechanism
群众路线：the mass line
高寒草地：alpine grassland
三聚磷酸钠：sodium tripolyphosphate
化学还原：chemical reduction
火焰温度：flame temperature
自控系统：automatic control system
化学形态：chemical speciation
示范工程：demonstration project
浸出毒性：leaching toxicity
变性梯度凝胶电泳：denaturing gradient gel electrophoresis
离子交换纤维：ion exchange fiber
道路网络：road network
三聚氯氰：cyanuric chloride
脱氢酶活性：dehydrogenase activity
钛白粉：titanium dioxide
无锡市：Wuxi City
减压蒸馏：vacuum distillation
四氯化钛：titanium tetrachloride
三江平原：the Sanjiang Plain
工程分析：engineering analysis
低表面能：low surface energy
多相流动：multiphase flow
ζ电位：ζ potential
河网：river network
水系：water system
滇西：western Yunnan
短小芽孢杆菌：bacillus pumilus
细菌多样性：Bacterial diversity
气体分析：gas analysis
元素地球化学：element geochemistry
尖点突变：cusp catastrophe
后向散射系数：backscattering coefficient
河北平原：Hebei plain
包膜尿素：coated urea
优势种群：dominant population
哲学思考：philosophical thinking
切换控制：Switching control
经济制度：economic system
水质模拟：water quality simulation
Elman网络：Elman network
水库移民：reservoir resettlement
选址模型：location model
特种设备：Special equipment
紫外光：UV light
多壁碳纳米管：multi-walled carbon nanotube
视频监控系统：video monitoring system
菌种鉴定：strain identification
防治对策：control countermeasure
气浮：air flotation
正交试验法：orthogonal experiment
液位控制：liquid level control
沉水植物：Submerged macrophyte
变频控制：frequency conversion control
节水：water conservation
膜厚：film thickness
莲藕：lotus root
生物资源：biological resources
真空蒸发：vacuum evaporation
地热水：geothermal water
计量模型：econometric model
疏水缔合：Hydrophobic association
南通市：Nantong city
减灾：disaster reduction
三氯氧磷：phosphorus oxychloride
植被盖度：vegetation coverage
生态产业：Ecological industry
人类社会：human society
潮土：fluvo-aquic soil
城市生态：urban ecology
行政补偿：administrative compensation
最优策略：optimal strategy
人口城市化：Population Urbanization
不完全契约：incomplete contract
同伦方法：homotopy method
马克思主义中国化：Marxism in China
黏土矿物：clay mineral
改性沸石：modified zeolite
世界观：world view
气溶胶光学厚度：Aerosol optical depth
矿区：mine area
地质调查：geological survey
电解铝：Electrolytic aluminum
氮磷：nitrogen and phosphorus
农业面源污染：Agricultural non-point source pollution
离子掺杂：ion doping
三氧化钨：Tungsten trioxide
二级出水：secondary effluent
流函数：stream function
生态需水：ecological water demand
安全疏散：safety evacuation
Mie理论：Mie theory
表面化学：surface chemistry
海河流域：Haihe River basin
环境雌激素：environmental estrogens
中山市：Zhongshan city
离子浓度：ion concentration
氰化钠：sodium cyanide
化学振荡：chemical oscillation
环境演变：environmental evolution
生态伦理学：ecological ethics
基本结构：basic structure
环境同位素：environmental isotope
宝鸡市：Baoji City
历史时期：historical period
沼泽红假单胞菌：Rhodopseudomonas palustris
蛋白核小球藻：Chlorella pyrenoidosa
低出生体重：Low birth weight
间歇曝气：intermittent aeration
影响评价：impact assessment
EGSB反应器：EGSB reactor
脉冲放电：pulse discharge
除尘效率：collection efficiency
实验模拟：experimental simulation
滤饼：filter cake
光催化反应器：photocatalytic reactor
环境建设：environment construction
连续发酵：Continuous fermentation
乙酸丁酯：butyl acetate
健康效应：health effect
危险化学品：dangerous chemicals
可靠性理论：reliability theory
农业环境：agricultural environment
开放实验室：opening laboratory
膳食结构：dietary pattern
响应面方法：response surface methodology
大庆市：Daqing City
盲数：blind number
棕榈酸：palmitic acid
服务区：service area
死区：dead zone
景观变化：Landscape change
安全库存：safety stock
混合法：hybrid method
控制中心：control center
地质处置：geological disposal
300MW机组：300 MW unit
场分布：field distribution
冰芯：ice core
生物有机肥：bio-organic fertilizer
分布式模型：distributed model
无监督学习：unsupervised learning
环境立法：environmental legislation
熔融盐：Molten salt
磁性微球：magnetic microspheres
泡沫铝：foamed aluminum
防洪：Flood prevention
内电解：internal electrolysis
黑碳：black carbon
氨基磺酸：sulfamic acid
生物样品：Biological sample
博斯腾湖：Bosten Lake
抑制作用：inhibition effect
标准溶液：standard solution
稻壳：rice hull
生物监测：Biological monitoring
价值评价：value evaluation
自然观：view of nature
柠檬酸钠：sodium citrate
人工植被：artificial vegetation
检出限：Detection limit
河水：river water
环境污染物：Environmental Pollutants
民用建筑：civil building
高级氧化：advanced oxidation
环境正义：environmental justice
泡沫分离：foam separation
民勤绿洲：Minqin Oasis
岩溶区：karst area
佛山市：Foshan city
环境资源：environmental resources
河流健康：river health
可持续旅游：sustainable tourism
可调谐激光器：tunable laser
沼液：biogas slurry
低碳经济：low carbon economy
湿地植物：wetland plant
多孔膜：porous membrane
次磷酸钠：sodium hypophosphite
污泥处置：Sludge disposal
热风炉：Hot-blast stove
电镀污泥：electroplating sludge
硫氰酸铵：ammonium thiocyanate
斜生栅藻：Scenedesmus obliquus
气象因素：meteorological factor
混凝沉淀：coagulation and sedimentation
分离与鉴定：Isolation and identification
采出水：produced water
超声处理：ultrasonic treatment
抗生素废水：antibiotic wastewater
关中地区：Guanzhong region
晶型：crystal form
压缩变形：Compression Deformation
还原染料：vat dyes
液体燃料：liquid fuel
数值微分：numerical differentiation
反应速率常数：reaction rate constant
膜材料：membrane material
褶皱臂尾轮虫：brachionus plicatilis
网箱养殖：cage culture
嘉陵江：Jialing River
未确知测度：unascertained measure
HSE管理体系：HSE management system
经济比较：economic comparison
西湖：West Lake
责任制：responsibility system
植被覆盖：vegetation coverage
环境水：Environmental water
碳平衡：carbon balance
种群增长：population growth
贫困地区：poor area
智能算法：intelligent algorithm
购买力平价：purchasing power parity
高素质：high quality
硅钨酸：silicotungstic acid
湖泊富营养化：lake eutrophication
Fenton试剂：Fenton's reagent
成型工艺：forming process
磷酸铵镁：magnesium ammonium phosphate
亚慢性毒性：Subchronic toxicity
镀铬：Chromium plating
流动电位：streaming potential
微生物活性：Microbial activity
变化特征：variation characteristics
氯酸钾：potassium chlorate
控制单元：control unit
微分脉冲伏安法：Differential pulse voltammetry
定量计算：quantitative calculation
HPLC：high performance liquid chromatography
赤潮异弯藻：Heterosigma akashiwo
中华鲟：Acipenser sinensis
安全风险：security risk
铵态氮：ammonium nitrogen
细胞活力：cell viability
硝化细菌：nitrifying bacteria
喷射泵：jet pump
碳循环：carbon cycling
澜沧江：Lancang River
有机物料：organic material
氡浓度：Radon Concentration
周代：Zhou Dynasty
政策效应：policy effect
控制系统设计：control system design
耦合度：coupling degree
系统动力学模型：system dynamics model
城中村：village in city
脲酶活性：urease activity
乡村景观：Rural landscape
价值理论：value theory
似然函数：likelihood function
灾后重建：post-disaster reconstruction
模糊预测控制：fuzzy predictive control
农村贫困：rural poverty
保卫细胞：guard cell
有机染料：organic dye
第三条道路：the third way
猪场废水：piggery wastewater
相转化：phase inversion
液-液萃取：Liquid-Liquid Extraction
无机离子：inorganic ions
磁场强度：magnetic field strength
生产方式：Production mode
花生壳：peanut shell
镉离子：cadmium ion
气固两相流：Gas-Solid Two Phase Flow
水生生物：aquatic organisms
研究现状：research actuality
电子受体：electron acceptor
挤出成型：extrusion molding
同位素稀释：isotope dilution
液液萃取：Liquid-liquid extraction
干燥速率：Drying rate
汞污染：Mercury pollution
东莞市：Dongguan city
高通量筛选：high-throughput screening
包装材料：packaging materials
乙基紫：ethyl violet
地下水脆弱性：groundwater vulnerability
分离机理：separation mechanism
模型集成：model integration
保护措施：protection measure
生长指标：growth index
风化煤：weathered coal
碱金属：alkali metals
火灾模拟：fire simulation
熔融共混：melt blending
矿热炉：submerged arc furnace
风景名胜区：scenic area
海洋生态系统：marine ecosystem
化学活化：chemical activation
临汾市：Linfen city
生态工业：ecological industry
动边界：moving boundary
引风机：Induced Draft Fan
噪声治理：noise control
行政执法：Administrative enforcement
储运：storage and transportation
化学风化：chemical weathering
聊城市：Liaocheng city
无线电干扰：radio interference
多孔混凝土：porous concrete
国家责任：state responsibility
洪家渡水电站：Hongjiadu Hydropower Station
千岛湖：qiandao lake
洪泽湖：Hongze Lake
热通量：Heat flux
转化效率：transformation efficiency
发育毒性：developmental toxicity
现代科技：Modern science and technology
人类文明：Human civilization
国家经济安全：National Economic Security
土壤-植物系统：soil-plant system
氯化镧：lanthanum chloride
反相乳液：inverse emulsion
结构特征：structure characteristic
旅游环境：tourism environment
锰矿：Manganese ore
大型蚤：Daphnia magna
循环冷却水：recirculating cooling water
应急系统：emergency system
支撑液膜：supported liquid membrane
吉布斯自由能：Gibbs free energy
BP神经网络模型：BP neural network model
物质流分析：material flow analysis
石油醚：Petroleum ether
铝毒：Aluminum toxicity
水质改善：water quality improvement
应用软件：applied software
脉冲电源：Pulse generator
设计特点：design feature
城市绿地：urban greenland
恶臭假单胞菌：pseudomonas putida
亚甲基兰：methylene blue
磁粉：magnetic powder
随机分布：random distribution
饮水安全：drinking water safety
铁氰化钾：potassium ferricyanide
张峰水库：ZhangFeng reservoir
镉胁迫：Cadmium stress
安全浓度：Safe concentration
隐患：hidden danger
自然价值：natural value
富氧燃烧：oxygen-enriched combustion
组织体系：organization system
政策评估：Policy evaluation
居住小区：residential quarter
保护与开发：protection and development
桐花树：Aegiceras corniculatum
溴甲烷：methyl bromide
温度影响：temperature effect
