有限元：finite element
空中交通：air traffic
装备维修：equipment maintenance
非线性反馈控制：nonlinear feedback control
保偏光纤：polarization-maintaining fiber
大气传输：atmospheric transmission
局部优化：local optimization
免疫反馈：immune feedback
保护区：Nature reserve
轻量化：light weight
碳纤维复合材料：carbon fiber composite
微细电火花加工：Micro EDM
辐射换热：radiative heat transfer
制造工艺：manufacture process
弹塑性变形：elastic-plastic deformation
燃烧机理：combustion mechanism
响应特性：response characteristic
冷却效率：cooling efficiency
点火能量：ignition energy
水力损失：hydraulic loss
流体机械：fluid machinery
曝光时间：exposure time
几何造型：geometry modeling
极大似然法：maximum likelihood method
蒙特卡罗仿真：Monte-Carlo simulation
像质：Image quality
轨道控制：orbit control
飞行数据：flight data
发射动力学：launch dynamics
航空相机：Aerial camera
单粒子翻转：single event upset
发现概率：detection probability
鲁棒滤波：robust filtering
传感器故障：sensor fault
时间间隔测量：time interval measurement
模型重构：Model reconstruction
进化策略：evolution strategies
深冷处理：deep cryogenic treatment
润滑系统：lubricating system
测试装置：testing device
加工变形：Machining deformation
微波衰减：microwave attenuation
摩擦阻力：Frictional Resistance
结构完整性：structural integrity
图形建模：graphic modeling
模糊综合评价模型：fuzzy comprehensive evaluation model
硝胺推进剂：nitramine propellant
平均速度：average velocity
耦合作用：coupling effect
静态稳定性：static stability
可压缩流动：compressible flow
高斯分布：gauss distribution
等离子体发生器：plasma generator
飞行控制系统：flight control systems
相位校正：phase correction
姿态估计：attitude estimation
卫星姿态：satellite attitude
杀伤概率：kill probability
爆震波：detonation wave
标度因数：scale factor
反射面天线：reflector antenna
星载计算机：on-board computer
UKF：unscented Kalman filter
欠驱动系统：underactuated system
信号模拟器：signal simulator
地形跟随：terrain following
姿态算法：attitude algorithm
损伤分析：damage analysis
载波跟踪：carrier tracking
Laplacian矩阵：Laplacian matrix
等效应变：equivalent strain
正交优化：orthogonal optimization
起动过程：starting process
疲劳设计：fatigue design
特征线法：characteristics method
快速响应：quick response
动特性：dynamic characteristics
管流：pipe flow
大应变：large strain
高能推进剂：High energy propellant
指数模型：exponential model
红外检测：infrared detection
鸟类多样性：bird diversity
偏差分析：deviation analysis
指令系统：instruction system
动应变：Dynamic strain
Gamma分布：Gamma distribution
湍流强度：turbulence intensity
机场道面：airport pavement
外弹道学：Exterior Ballistics
相对导航：Relative navigation
数字相关：digital correlation
动态面控制：dynamic surface control
递阶遗传算法：hierarchical genetic algorithm
对地观测：earth observation
振动疲劳：vibration fatigue
增韧剂：toughening agent
动态仿真：dynamic emulation
能量守恒：Conservation of energy
生成焓：enthalpy of formation
知识融合：Knowledge fusion
测试技术：test technique
长寿命：Long life
阻尼材料：damping materials
维修成本：maintenance cost
静载：static load
VOF模型：VOF model
二相流：two-phase flow
设计要求：design requirement
水面舰艇：surface ship
立体显示：stereo display
混合工质：refrigerant mixture
软件接口：software interface
GPS导航：GPS navigation
μ综合：μ synthesis
飞控计算机：flight control computer
航空运输：air transportation
多目标控制：multi-objective control
物理光学法：physical optics
电推进：electric propulsion
ANSYS仿真：ANSYS simulation
可信性理论：credibility theory
模式搜索：pattern search
放电特性：discharge characteristic
贝叶斯推理：Bayesian inference
沸石分子筛：zeolite molecular sieve
安全阀：relief valve
新概念：new concept
数字图像相关：digital image correlation
温度误差：temperature error
矩形截面：rectangular section
材料去除机理：material removal mechanism
均匀磁场：uniform magnetic field
地面效应：ground effect
中心频率：center frequency
刚度比：Stiffness ratio
时间窗口：Time Window
协方差分析：covariance analysis
非定常气动力：unsteady aerodynamics
非线性估计：nonlinear estimation
误差椭圆：error ellipse
应变疲劳：strain fatigue
FIR滤波：FIR filter
远程终端：remote terminal
Hankel矩阵：Hankel matrix
可压缩流：compressible flow
输出反馈控制：output feedback control
导弹制导：missile guidance
Lagrange方程：Lagrange equation
冲击冷却：Impingement cooling
BDI模型：BDI model
被动安全性：passive safety
先验概率：prior probability
幅度调制：Amplitude modulation
计量管理：measurement management
吸能：energy absorption
压力振荡：pressure oscillation
Kriging模型：Kriging model
软件编程：software programming
最优化设计：optimal design
摄像机模型：camera model
地面站：ground station
正交表：orthogonal table
超越离合器：Overrunning clutch
面积测量：area measurement
渐开线花键：involute spline
弹性碰撞：elastic collision
时间差：time difference
现代战争：modern war
塞式喷管：aerospike nozzle
代理模型：surrogate model
轴流压气机：axial-flow compressor
信道化接收机：channelized receiver
太阳敏感器：sun sensor
姿态角：attitude angle
星敏感器：Star Tracker
航空航天推进系统：aerospace propulsion system
空间天气：space weather
热控系统：thermal control system
超声速进气道：supersonic inlet
细长体：slender body
电子干扰：electronic jamming
总线技术：bus technology
发动机控制：engine control
热仿真：thermal simulation
数据互联：data association
测试程序：test program
当前统计模型：current statistical model
结构胶：structural adhesive
二分法：bisection method
混合特性：mixing characteristics
冷坩埚：Cold Crucible
复合结构：compound structure
行星齿轮：planet gear
复合材料结构：composite structure
压气机叶片：Compressor blade
数控代码：NC code
电子经纬仪：electronic theodolite
热载荷：thermal load
装配顺序：assembly sequence
平均温度：average temperature
动态压力：dynamic pressure
液氢：liquid hydrogen
弹射座椅：Ejection seat
H∞滤波：H∞ filtering
航空母舰：aircraft carrier
近似模型：approximate model
结构连接：structural join
月球探测器：Lunar probe
神经网络PID：neural network PID
计算数学：computational mathematics
推力测量：thrust measurement
太阳模拟器：solar simulator
通道失配：channel mismatch
Memetic算法：Memetic algorithm
激光测距仪：laser range finder
涡破裂：vortex breakdown
可测试性设计：Design for testability
直接自适应控制：direct adaptive control
卫星云图：satellite cloud image
混联机床：Hybrid Machine Tool
圆锥误差：Coning Error
频率分集：Frequency diversity
缺陷识别：defect identification
非线性阻尼：nonlinear damping
可靠性评定：reliability evaluation
吸附能：Adsorption energy
冲击响应谱：shock response spectrum
加速试验：Accelerated testing
民用航空：civil aviation
随机误差：random errors
相对定位：relative positioning
环境模拟：environmental simulation
试验数据：test data
静电防护：electrostatic protection
柔性制造：flexible manufacturing
人的因素：human factor
磁滞损耗：hysteresis loss
衰减常数：attenuation constant
外层空间：Outer space
人因工程：human factors engineering
LevelSet方法：level set method
驾驶员模型：driver model
剪切层：Shear layer
动力松弛法：dynamic relaxation method
带通滤波：Band-pass filter
关系矩阵：relation matrix
稳定域：stability region
叶片设计：blade design
星座设计：constellation design
许用应力：allowable stress
正交实验法：Orthogonal experiment
炭/炭复合材料：C/C composite
结构改进：structural improvement
TWIP钢：TWIP steel
二维模型：two-dimensional model
集成建模：integrated modeling
加工过程仿真：machining process simulation
风险指标：risk index
绝热剪切：adiabatic shear
工作流程：Working process
二次电子发射：secondary electron emission
随机参数：random parameter
低信噪比：low signal-to-noise ratio
弹性振动：Elastic vibration
遗传优化：genetic optimization
区域特征：regional characteristics
电场传感器：electric field sensor
重复使用运载器：Reusable launch vehicle
偏振度：polarization degree
元胞自动机模型：cellular automaton model
超音速冲压喷气发动机：Supersonic combustion ramjet engine
火焰稳定器：Flame holder
匹配度：matching degree
垂直发射：Vertical Launching
弹道优化：trajectory optimization
再生冷却：regenerative cooling
不变流形：invariant manifold
机匣处理：casing treatment
飞行性能：flight performance
激光测距机：Laser range finder
LXI总线：LXI bus
先验估计：a priori estimates
物理规划：physical programming
动量轮：Momentum wheel
加速度反馈：Acceleration feedback
飞行品质：flying qualities
特征阻抗：characteristic impedance
风场反演：wind retrieval
摩擦因子：friction factor
复合材料层板：composite laminate
焊接顺序：welding sequence
热加工图：Processing Map
光电编码器：photoelectric coder
接收系统：receiving system
自适应神经模糊推理系统：adaptive neuro-fuzzy inference system
SiCp/Al复合材料：SiCp/Al composites
流场测量：flow field measurement
扩展Kalman滤波：Extended Kalman filter
涡流损耗：eddy current losses
频散曲线：dispersion curves
模糊自适应：fuzzy adaptive
GPS系统：GPS system
试验设备：test equipment
空间信息系统：spatial information system
涡轮叶片：turbine blades
飞行器设计：aircraft design
模拟控制：analog control
低温推进剂：Cryogenic propellant
混合层：Mixed layer
鸟撞：bird impact
航空工业：aviation industry
航空遥感：airborne remote sensing
扭摆：torsion Pendulum
自适应卡尔曼滤波：Adaptive Kalman Filtering
风险系数：Risk coefficient
滑转率：slip ratio
升阻比：lift-drag ratio
像移：Image motion
动基座：Moving base
航迹规划：trajectory planning
机内测试：built-in test
气动阻力：aerodynamic drag
枢纽机场：hub airport
固体火箭冲压发动机：solid rocket ramjet
补偿电路：compensation circuit
对转涡轮：counter-rotating turbine
非线性滤波器：nonlinear filter
可展开天线：Deployable antenna
热分层：thermal stratification
滑动平均：moving average
辐射制冷器：radiant cooler
动态补偿器：dynamic compensator
最小方差控制：minimum variance control
精密定轨：precise orbit determination
数字相关器：digital correlator
非线性PID控制：nonlinear PID control
光学遥感：optical remote sensing
相位干涉仪：phase interferometer
定性模型：qualitative model
数据加载：data loading
终端区：terminal area
混合方法：Hybrid method
结构奇异值：structured singular value
DC/DC转换器：DC/DC converter
电参数：electric parameter
复合固体推进剂：Composite solid propellant
空速：space velocity
系统框架：system frame
寿命评估：life evaluation
风速：air velocity
吸热型碳氢燃料：endothermic hydrocarbon fuel
侧向力：side force
定量评估：quantitative assessment
数值建模：numerical modeling
湍流混合：turbulent mixing
电阻抗：electrical impedance
矩方法：moment method
高负荷：high load
Wiener滤波：Wiener filtering
STL文件：STL files
数据记录：data record
平衡方程：equilibrium equation
主动磁轴承：active magnetic bearing
粗差：gross errors
频响：Frequency response
冲击谱：shock spectrum
计算复杂度：computation complexity
信道预测：channel prediction
整体稳定性：overall stability
Goertzel算法：Goertzel algorithm
气动阻尼：aerodynamic damping
维修保障系统：maintenance support system
非线性动态逆：nonlinear dynamic inversion
分离流动：Separation flow
序优化：ordinal optimization
作业车间：job shop
运动模拟：motion simulation
Petri网模型：Petri Net model
OTSU算法：OTSU algorithm
Box-Cox变换：Box-Cox transformation
稳健优化：Robust Optimization
约束处理：constraint handling
低速冲击：low-velocity impact
导叶：guide vane
金相检验：Metallographic examination
加速腐蚀：Accelerated corrosion
轴向冲击：axial impact
维修体制：maintenance system
油池火：pool fire
载人航天：manned spaceflight
燃烧化学：combustion chemistry
过程神经网络：process neural network
条件价值法：contingent valuation method
改进模型：improved model
数据平滑：Data smoothing
裂纹尖端场：crack-tip field
辐射源：radiation source
集成神经网络：integrated neural network
压电陶瓷驱动器：piezoelectric actuator
胞映射：cell mapping
碳氢燃料：hydrocarbon fuel
进程间通信：inter-process communication
增益调度：gain scheduling
状态转移矩阵：state transition matrix
图像纹理：image texture
离子电流：ion current
航天飞机：space shuttle
指控系统：command and control system
角跟踪：angle tracking
Halo轨道：Halo orbit
气动特性：aerodynamic performance
推理算法：Reasoning algorithm
单粒子效应：single event effects
电磁制动器：electromagnetic brake
定轨：orbit determination
流体控制：flow control
质心算法：Centroid algorithm
影像金字塔：image pyramid
卫星姿态控制：satellite attitude control
非线性自适应控制：nonlinear adaptive control
预混合燃烧：premixed combustion
基于模型诊断：model-based diagnosis
误差分析：error analyzing
遥测：Remote sensing
冷却速度：cooling velocity
特种加工：non-traditional machining
单晶合金：single crystal superalloy
气流分布：gas flow distribution
复合材料层合板：composite laminated plate
电荷耦合器件：charge-coupled device
红外热波：Infrared thermal wave
动态损伤：dynamic damage
试验装置：test equipment
滚子轴承：roller bearing
图像模拟：image simulation
空间凸轮：spatial cam
回流区：recirculation zone
水声：underwater acoustics
图像校正：image correction
贝叶斯正则化：Bayesian regularization
机械感度：mechanical sensitivity
伴随方法：adjoint method
自适应中值滤波：adaptive median filter
能量分离：energy separation
磁耦合：magnetic coupling
涡轮发动机：turbine engine
快速充电：fast charge
相似律：similarity law
故障诊断专家系统：Fault diagnosis expert system
安装误差：Installation error
振动环境：vibration environment
激光陀螺：laser gyroscope
激波风洞：shock tunnel
人工诱导：Artificial induction
换乘枢纽：Transfer hub
高超声速流动：hypersonic flow
协同空战：cooperative air combat
空天飞行器：aerospace vehicle
舰载机：carrier-based aircraft
电动舵机：Electromechanical Actuator
动态故障树：dynamic fault tree
LabWindows/CVI：Lab Windows/CVI
设计与分析：design and analysis
重力波：Gravity waves
环路热管：Loop heat pipe
热平衡试验：thermal balance test
MapX控件：MapX control
像移补偿：image motion compensation
损失模型：loss model
ButterWorth滤波器：ButterWorth filter
湍流模式：turbulence model
稀疏孔径：sparse aperture
成像光学：imaging optics
验前信息：prior information
填充算法：filling algorithm
晶粒：crystal grain
综合性能：comprehensive properties
实时优化：real-time optimization
大口径：large diameter
钨合金：tungsten heavy alloy
点火延迟：Ignition delay
结构刚度：structural stiffness
端羟基聚丁二烯：hydroxyl-terminated polybutadiene
暖体假人：thermal manikin
大尺度：large scale
能量衰减：energy attenuation
大气压力：atmospheric pressure
管接头：Pipe joint
灰色神经网络：grey neural network
精加工：finish machining
流动机理：flow mechanism
镁粉：magnesium powder
高温热管：High Temperature Heat Pipe
虚拟仪器技术：virtual instrument technique
电磁铆接：Electromagnetic Riveting
三维显示：three-dimensional display
信号干扰：signal interference
运动边界：Moving boundary
光学参数：Optical parameters
层流流动：laminar flow
航空安全：aviation safety
不确定性推理：uncertain reasoning
热结构：thermal structure
健康评估：health assessment
模态实验：Modal experiment
射频通信：RF communication
数据监控：data monitoring
大气紊流：atmospheric turbulence
带电粒子：charged particles
变形反射镜：deformable mirror
惯性导航系统：Inertial navigation system(INS)
自由尾迹：free wake
多相滤波器：polyphase filter
二级光谱：secondary spectrum
火星探测：Mars exploration
导引规律：Guidance Law
自主光学导航：autonomous optical navigation
PD控制器：PD controller
激波串：shock train
挠性卫星：flexible satellite
低速风洞：Low speed wind tunnel
自主飞行：autonomous flight
可观测性分析：observability analysis
再入制导：reentry guidance
QR分解：QR factorization
涡轴发动机：turboshaft engine
Pade逼近：Pade approximation
弯叶片：bowed blade
红外地球敏感器：infrared earth sensor
网格变形：mesh deformation
侦察卫星：Reconnaissance satellite
液体射流：liquid jet
响应面模型：response surface model
虚拟通道：virtual channel
切换函数：Switching function
网络文件系统：network file system
Gurney襟翼：Gurney flap
级间分离：stage separation
最小割集：minimum cut set
石英玻璃：silica glass
联合时频分析：joint time-frequency analysis
Bayes理论：Bayes theory
相似准则：similarity criterion
建模和仿真：modeling and simulation
未来趋势：future trend
霍尔电流传感器：Hall current sensor
空间对接：space docking
安全效益：safety benefit
腐蚀环境：corrosion environment
质量分数：mass fraction
冲击波感度：shock sensitivity
非比例加载：non-proportional loading
瞬态模型：transient model
不确定参数：uncertain parameters
数值传热：numerical heat transfer
多模态控制：multi-mode control
柔性机构：compliant mechanisms
裂纹检测：crack detection
热控涂层：thermal control coatings
信号调理：signal condition
疲劳应力：fatigue stress
低循环疲劳：Low cycle fatigue
实时通讯：real-time communication
脑力负荷：mental workload
涡轮泵：turbine pump
姿态跟踪：attitude tracking
不可压缩流动：incompressible flow
作战效能评估：operational effectiveness evaluation
自动着陆：automatic landing
功率合成：power combination
稀疏信道：Sparse channel
传感器故障诊断：sensor fault diagnosis
数学仿真：mathematical simulation
分流叶片：splitter blade
姿态运动：Attitude motion
涡结构：vortex structure
线性稳定性：Linear stability
离散控制：discrete control
鸭式布局：canard configuration
系统重构：system reconstruction
位姿估计：pose estimation
吊放声纳：dipping sonar
稳像：image stabilization
长波：long wave
平台设计：platform design
噪声信号：noise signal
模态局部化：mode localization
轨迹分析：trajectory analysis
熵条件：entropy condition
软错误：soft error
树脂基复合材料：Resin matrix composite
脉冲控制：pulse control
实时补偿：real-time compensation
热管：heat pipes
运行特性：operation characteristic
曳力系数：drag coefficient
混合效率：mixing efficiency
非稳态传热：unsteady heat transfer
高斯拟合：gaussian fitting
质量特性：quality characteristic
燃烧速率：burning rate
流场计算：flow field calculation
相对测量：relative measurement
概率设计：Probabilistic design
逆解：inverse solution
计划调度：planning and scheduling
小波降噪：Wavelet denoising
动密封：dynamic seal
薄壁结构：thin-walled structures
应力响应：stress response
伴随方程：adjoint equation
驱动轮：driving wheel
模糊自整定：fuzzy self-tuning
绘图软件：drawing software
调相：phase modulation
热设计：Heat design
活塞理论：piston theory
毁伤效应：damage effect
抗干扰设计：anti-jamming design
多段翼型：multi-element airfoil
椭圆轨道：elliptical orbit
协同作战：cooperative engagement
反馈增益：Feedback gain
共轴式直升机：coaxial helicopter
透平叶栅：turbine cascade
自适应滑模控制：adaptive sliding mode control
航向控制：heading control
大气压辉光放电：atmospheric pressure glow discharge
单极子天线：monopole antenna
光滑粒子流体动力学：smoothed particle hydrodynamics
地磁导航：geomagnetic navigation
主动流动控制：active flow control
随机分岔：stochastic bifurcation
地面共振：ground resonance
动态贝叶斯网络：dynamic Bayesian networks
战场态势：battlefield situation
匹配跟踪：matching pursuit
均值滤波：average filter
角闪烁：angular glint
李萨如图形：Lissajous figure
对接机构：docking mechanism
电子元器件：electronic component
FPGA技术：FPGA technology
自适应模糊控制器：adaptive fuzzy controller
工艺装备：technological equipment
燃烧特性：combustion property
航空煤油：Aviation kerosene
有限元模型：FE model
有机玻璃：Polymethyl methacrylate
切削深度：cutting depth
磁场梯度：magnetic field gradient
参数估值：parameter estimation
功率谱密度函数：power spectral density function
卧式容器：horizontal vessel
诊断矩阵：diagnosis matrix
回收系统：recovery system
莫来石纤维：mullite fiber
最大熵法：maximum entropy method
支撑结构：supporting structure
质子辐照：Proton radiation
模式搜索法：Pattern search method
平滑滤波：smoothing filter
径向间隙：radial clearance
控制仿真：control simulation
升力：lift force
燃烧波：Combustion wave
稀薄气体：rarefied gas
磁屏蔽：magnetic shield
损伤模式：damage mode
Marangoni对流：marangoni convection
过程数据：process data
动态刚度：Dynamic stiffness
气候背景：Climate background
演化建模：evolutionary modeling
位平面编码：bit-plane coding
维修费用：maintenance cost
气动阀：pneumatic valve
努塞尔数：Nusselt number
网络数据：Network data
数字输出：digital output
压力修正：pressure correction
非参数模型：Nonparametric model
自适应蚁群算法：adaptive ant colony algorithm
水声对抗：underwater acoustic warfare
动态功耗管理：dynamic power management
寻北仪：north seeker
万有引力：universal gravitation
光学遥感器：optical remote sensor
瞬态动力学分析：transient dynamic analysis
机械耦合：mechanical coupling
信号模拟：signal simulation
合同网：Contract Net Protocol
最大似然检测：maximum likelihood detection
验前分布：Prior distribution
轨迹线性化控制：trajectory linearization control
机动飞行：maneuvering flight
真空热试验：vacuum thermal test
高线性度：high linearity
直方图匹配：histogram matching
混杂控制：hybrid control
遥测数据：telemetry data
环形谐振腔：ring resonator
导航接收机：navigation receiver
知识产权核：IP core
区域覆盖：Regional coverage
自动标定：automatic calibration
灰色关联投影法：grey relation projection method
移动质量：moving mass
计算气动声学：computational aeroacoustics
鲁棒跟踪：robust tracking
模型跟随：model following
相对距离：relative distance
达芬奇技术：DaVinci technology
跨音速压气机：Transonic compressor
干摩擦：dry sliding
滑移系：slip system
粘性系数：viscosity coefficient
插铣：plunge milling
等离子体点火：plasma ignition
自动调整：automatic adjustment
碰撞概率：collision probability
碳材料：Carbon materials
温度均匀性：temperature uniformity
导轨：guide rail
安全裕度：safety margin
流场特性：flow field characteristics
线性拟合：linear fit
柔性夹具：flexible fixture
CFD软件：CFD software
月球：the moon
鉴相：phase discrimination
声信号：sound signal
工作频率：working frequency
三菱PLC：Mitsubishi PLC
系统安全性：system security
火箭推进剂：rocket propellant
人为失误：human error
数字地形：digital terrain
疲劳载荷：fatigue load
层间应力：Interlaminar stresses
空气系统：air system
整体壁板：integral panel
热网络：thermal network
信息分配：information distribution
厚度分布：thickness distribution
航空润滑油：Aviation lubricating oil
制冷技术：refrigeration technology
变密度法：Variable Density Method
聚氨酯橡胶：polyurethane rubber
几何法：geometric method
光纤激光：fiber laser
模型确认：model validation
伺服机构：servo mechanism
光电耦合器：photoelectric coupler
蜂窝夹层结构：honeycomb sandwich structure
多裂纹：multiple cracks
角加速度：angle acceleration
滚动优化：rolling optimization
非平衡流：nonequilibrium flow
滑阀：Slide valve
卫星应用：Satellite application
耦合损耗因子：coupling loss factor
导航定位：navigation positioning
直方图分析：histogram analysis
牛顿迭代：Newton iteration
惯性测量组合：inertial measurement unit
燃机：gas turbine
隐身目标：stealth target
索网：Cable Net
圆锥运动：coning motion
自主水下航行器：autonomous underwater vehicle(AUV)
差分演化：differential evolution
虚警率：false alarm rate
涡喷发动机：turbojet engine
三次B样条：cubic B-spline
叶片扩压器：vaned diffuser
固体燃料冲压发动机：solid fuel ramjet
加速度响应：acceleration response
诱导速度：induced velocity
泄漏流动：leakage flow
流向涡：streamwise vortex
主减速器：main reducer
负载模拟器：Load simulator
迟滞非线性：hysteresis nonlinearity
末制导律：terminal guidance law
热真空试验：thermal vacuum test
叶尖间隙：tip clearance
结构布局：structural layout
随机加权：random weighting
空战仿真：air combat simulation
CCD摄像头：CCD camera
稀薄气体动力学：rarefied gas dynamics
分支理论：bifurcation theory
紧缩场：compact range
相位跟踪：phase tracking
故障估计：fault estimation
惯性系：inertial system
产品保证：product warranty
相位差分：phase difference
强度噪声：intensity noise
并行调度：parallel scheduling
非线性鲁棒控制：nonlinear robust control
军事教育：military education
吹风比：Blowing ratio
磁阻传感器：magnetic sensor
蠕变寿命：creep life
热线风速仪：hot-wire anemometer
精铸：Investment Casting
热特性：thermal property
热防护系统：thermal protection system
丁羟推进剂：HTPB propellant
试验验证：experimental validation
卫星数据：satellite data
缓冲区：buffer zone
自适应模糊神经网络：adaptive fuzzy neural network
无铅焊接：lead-free soldering
灰色评价：gray evaluation
旋转角：rotation angle
数值拟合：numerical fitting
防护结构：protective structure
算法改进：improved algorithm
TA15合金：TA15 alloy
自由水面：free surface
双目视觉：binocular stereo vision
操纵系统：Control system
网格结构：Lattice structure
惯性器件：inertial device
物理电子学：Physical electronics
振动模态：vibration modal
耦合传热：coupled heat transfer
Taylor展开：taylor expansion
智能故障诊断：intelligence fault diagnosis
X射线源：X-ray source
平均寿命：average life
控制系统仿真：Control system simulation
混合网格：hybrid grids
振动传递率：Vibration transmissibility
驱动机构：drive mechanism
太阳吸收率：solar absorptance
方向余弦：direction cosine
瞬态测量：transient measurement
瞬时速度：instantaneous velocity
静电悬浮：Electrostatic Suspension
视觉跟踪：vision tracking
误差分配：Error distribution
纵向稳定性：longitudinal stability
线性时变系统：linear time-varying system
故障重构：fault reconstruction
圆锥扫描：conical scan
飞机制造：aircraft manufacturing
尺度不变特征变换：scale invariant feature transform
空分复用：spatial multiplexing
动态入流：dynamic inflow
卫星系统：satellite system
跟踪滤波：tracking filter
太阳帆：Solar sail
故障检测与隔离：fault detection and isolation
星载合成孔径雷达：spaceborne synthetic aperture radar
高过载：high overload
星图：star image
航空维修：aviation maintenance
通道涡：passage vortex
X射线脉冲星：X-ray pulsar
颤振分析：flutter analysis
虚拟测试：Virtual Testing
常规导弹：conventional missile
误差标定：error calibration
阵列天线：antenna arrays
目标分配：target allocation
计算平台：computing platform
动力学与控制：dynamics and control
总压畸变：total pressure distortion
红外仿真：infrared simulation
越肩发射：over the shoulder
机载相控阵雷达：airborne phased array radar
量子密钥：quantum key
升压变换器：boost converter
视情维修：condition based maintenance
振动台实验：shaking table test
杂光：Stray light
Navier-Stokes方程组：Navier-Stokes equations
中层大气：Middle atmosphere
观测模型：Observation model
映射规则：mapping rules
跨声速流动：transonic flow
网络算法：Network algorithm
大气密度：atmospheric density
氢氧发动机：Hydrogen oxygen engine
序贯平差：sequential adjustment
国际影响：international influence
反设计：inverse design
反应率：reaction rate
视轴稳定：LOS stabilization
螺栓连接：Bolted connection
统计能量法：statistical energy analysis
危险源辨识：hazard identification
雾化特性：atomization characteristics
锰含量：manganese content
干涉测量：interference measurement
激光辐射：Laser radiation
阻力系数：resistance factor
合金粉：alloy powder
事故调查：accident investigation
随机振动分析：random vibration analysis
弹簧单元：spring element
长度分布：length distribution
稳态：Stable State
序列最小优化：sequential minimal optimization
飞行模拟机：flight simulator
航天继电器：aerospace relay
机载电子设备：airborne electronic equipment
区域划分：regional division
液体火箭推进剂：Liquid rocket propellant
环境模型：environmental model
多轴疲劳：multi-axial fatigue
陶瓷型芯：ceramic core
系统分解：system decomposition
Sauter平均直径：Sauter mean diameter
比强度：specific strength
动力学设计：Dynamic Design
热环境：heat environment
重型燃气轮机：heavy-duty gas turbine
膏体推进剂：pasty propellant
旋流数：swirl number
线性优化：linear optimization
非线性不确定系统：Nonlinear uncertain system
鲁棒H∞控制：robust H ∞ control
随机动力学：stochastic dynamics
液滴蒸发：droplet evaporation
飞机维修：aircraft maintenance
虚拟控制：virtual control
反作用飞轮：Reaction wheel
冲量耦合系数：Momentum coupling coefficient
稳定图：stabilization diagram
壁板颤振：Panel flutter
鉴定试验：qualification test
推力偏心：Thrust misalignment
直接力控制：direct force control
捷联惯性导航：Strapdown inertial navigation
Stackelberg对策：stackelberg game
重构控制：reconfigurable control
知识驱动：knowledge driven
阻抗特性：impedance characteristics
轨道预报：orbit prediction
运动模拟器：motion simulator
动态逆控制：Dynamic inversion control
矢量观测：vector observation
SQP方法：SQP method
火焰筒：flame tube
燃气射流：Jet flow
燃气涡轮：gas turbine
静电传感器：electrostatic sensor
空间探测：space exploration
飞行控制器：Flight controller
图像描述：image description
信号处理机：signal processor
动态路径规划：dynamic path planning
飞机结冰：aircraft icing
姿态动力学：Attitude dynamics
频差：frequency difference
虚拟座舱：virtual cockpit
静稳定性：static stability
调制频率：modulation frequency
月食：lunar eclipse
结构网格：structured grid
环形叶栅：annular cascade
拓扑性质：topological property
Biba模型：Biba model
悬停直升机：hovering helicopter
自适应机制：adaptive mechanism
杂交算子：crossover operator
不可压缩流：Incompressible flow
卫星定轨：satellite orbit determination
跑道识别：runway recognition
辐射流体力学：radiation hydrodynamics
法律措施：legal measures
国际地磁参考场：International Geomagnetic Reference Field
颜色匹配：color matching
自由飞行：free flight
成型技术：molding technology
化学铣切：chemical milling
耦合计算：coupling calculation
遗传算法(GA)：genetic algorithms(GA)
微机电系统：micro-electro-mechanical systems
真空封装：vacuum packaging
能量特性：energy characteristics
加速老化试验：accelerated aging test
先驱体转化：precursor infiltration and pyrolysis
新进展：new advance
负荷分布：load distribution
燃烧产物：combustion product
纵向运动：longitudinal motion
半波电压：half-wave voltage
模态振型：modal shape
减重：weight reduction
光学表面：optical surface
静态法：static method
风速廓线：wind profile
烧蚀机理：ablation mechanism
喷流：jet flow
测试精度：test precision
用户子程序：user subroutine
非参数回归：non-parametric regression
磁偏角：magnetic declination
单脉冲：Single pulse
灰色综合评价：grey comprehensive evaluation
变增益：variable gain
现状与发展：status and development
红外相机：infrared camera
飞机结构：aircraft structures
纤维铺放：fiber placement
供气系统：gas supply system
防护设计：protection design
随机应力：random stress
外弹道：exterior ballistic
分子污染：Molecular contamination
位置环：position loop
再制造技术：remanufacturing technology
辐射加热：radiation heating
组合算法：combination algorithm
心理选拔：psychological selection
专业培训：professional training
部分线性模型：partial linear model
机载Lidar：airborne Lidar
寿命预估：life prediction
非线性补偿：non-linear compensation
飞行控制律：flight control law
弹道设计：Trajectory design
月面巡视探测器：lunar rover
湿度场：humidity field
同步捕获：timing acquisition
光电跟踪：optoelectronic tracking
四阶段法：four-stage method
操纵律：Steering law
制导精度：guidance accuracy
预警机：early warning aircraft
多余力：surplus force
RANSAC算法：RANSAC algorithm
自适应机翼：adaptive wing
非线性解耦控制：nonlinear decoupling control
无味卡尔曼滤波：unscented Kalman filter
惯性积：product of inertia
Unscented变换：unscented transformation
目标机动：Target maneuver
分布式测试：distributed test
速度分布函数：velocity distribution function
显示控制：display control
独立集：independent sets
五孔探针：five-hole probe
维修质量：maintenance quality
可靠性建模：reliability modeling
细长旋成体：slender body
模糊PI控制：fuzzy-PI control
机载预警雷达：airborne early warning radar
遥感器：remote sensor
威胁回避：threat avoidance
机动决策：maneuvering decision
极限状态函数：limit state function
运动学方程：Kinematic equation
可靠性框图：reliability block diagram
美国海军：US Navy
数据模块：Data module
轨道摄动：Orbit perturbation
公地悲剧：tragedy of the commons
导航卫星：navigation satellite
霍尔推力器：Hall thruster
